Model, Class, Accuracy, Precision, Recall, F1, timestamp
senticnet, AVERAGE, 0.49, 0.49, 0.49, 0.49, 07/27/24-22:12:27
senticnet, positive, 0.49, 0.47, 0.24, 0.32, 07/30/24-08:54:30
senticnet, negative, 0.49, 0.26, 0.03, 0.06, 07/30/24-08:54:30
senticnet, neutral, 0.49, 0.50, 0.87, 0.63, 07/30/24-08:54:30
senticnet, AVERAGE, 0.49, 0.49, 0.49, 0.49, 07/30/24-08:54:30
gpt-4o, positive, 0.75, 0.80, 0.69, 0.74, 07/30/24-08:58:26
gpt-4o, negative, 0.75, 0.70, 0.84, 0.76, 07/30/24-08:58:26
gpt-4o, neutral, 0.75, 0.78, 0.72, 0.75, 07/30/24-08:58:26
gpt-4o, AVERAGE, 0.75, 0.75, 0.75, 0.75, 07/30/24-08:58:26
gpt-4-turbo, positive, 0.71, 0.74, 0.76, 0.75, 07/30/24-09:03:00
gpt-4-turbo, negative, 0.71, 0.64, 0.88, 0.74, 07/30/24-09:03:00
gpt-4-turbo, neutral, 0.71, 0.79, 0.59, 0.68, 07/30/24-09:03:00
gpt-4-turbo, AVERAGE, 0.71, 0.72, 0.71, 0.71, 07/30/24-09:03:00
gpt-3.5-turbo-0125, positive, 0.63, 0.60, 0.83, 0.69, 07/30/24-09:06:05
gpt-3.5-turbo-0125, negative, 0.63, 0.56, 0.81, 0.66, 07/30/24-09:06:05
gpt-3.5-turbo-0125, neutral, 0.63, 0.76, 0.43, 0.55, 07/30/24-09:06:05
gpt-3.5-turbo-0125, AVERAGE, 0.63, 0.63, 0.63, 0.63, 07/30/24-09:06:05
open-mistral-nemo-2407, positive, 0.61, 0.67, 0.31, 0.42, 07/30/24-09:14:03
open-mistral-nemo-2407, negative, 0.61, 0.76, 0.38, 0.51, 07/30/24-09:14:03
open-mistral-nemo-2407, neutral, 0.61, 0.57, 0.87, 0.69, 07/30/24-09:14:03
open-mistral-nemo-2407, AVERAGE, 0.61, 0.61, 0.61, 0.61, 07/30/24-09:14:03
mistral-large-latest, positive, 0.66, 0.76, 0.56, 0.64, 07/30/24-09:22:23
mistral-large-latest, negative, 0.66, 0.57, 0.82, 0.67, 07/30/24-09:22:23
mistral-large-latest, neutral, 0.66, 0.71, 0.59, 0.65, 07/30/24-09:22:23
mistral-large-latest, AVERAGE, 0.66, 0.66, 0.66, 0.66, 07/30/24-09:22:23
claude-3-5-sonnet-20240620, positive, 0.70, 0.75, 0.59, 0.66, 07/30/24-09:31:34
claude-3-5-sonnet-20240620, negative, 0.70, 0.74, 0.66, 0.70, 07/30/24-09:31:34
claude-3-5-sonnet-20240620, neutral, 0.70, 0.68, 0.77, 0.72, 07/30/24-09:31:34
claude-3-5-sonnet-20240620, AVERAGE, 0.70, 0.70, 0.70, 0.70, 07/30/24-09:31:34
claude-3-haiku-20240307, positive, 0.59, 0.60, 0.72, 0.65, 07/30/24-09:40:43
claude-3-haiku-20240307, negative, 0.59, 0.56, 0.81, 0.66, 07/30/24-09:40:43
claude-3-haiku-20240307, neutral, 0.59, 0.74, 0.39, 0.51, 07/30/24-09:40:43
claude-3-haiku-20240307, AVERAGE, 0.59, 0.62, 0.59, 0.60, 07/30/24-09:40:43
