Model, Class, Accuracy, Precision, Recall, F1, timestamp
mistral-large-latest, neutral, 0.16, 0.60, 0.01, 0.02, 07/27/24-22:58:37
mistral-large-latest, AVERAGE, 0.16, 0.59, 0.16, 0.25, 07/27/24-22:58:37
senticnet, positive, 0.49, 0.47, 0.24, 0.32, 07/28/24-17:00:53
senticnet, negative, 0.49, 0.26, 0.03, 0.06, 07/28/24-17:00:53
senticnet, neutral, 0.49, 0.50, 0.87, 0.63, 07/28/24-17:00:53
senticnet, AVERAGE, 0.49, 0.49, 0.49, 0.49, 07/28/24-17:00:53
gpt-4o, positive, 0.75, 0.83, 0.75, 0.79, 07/28/24-17:04:07
gpt-4o, negative, 0.75, 0.64, 0.93, 0.75, 07/28/24-17:04:07
gpt-4o, neutral, 0.75, 0.84, 0.63, 0.72, 07/28/24-17:04:07
gpt-4o, AVERAGE, 0.75, 0.75, 0.75, 0.75, 07/28/24-17:04:07
gpt-4-turbo, positive, 0.68, 0.68, 0.80, 0.73, 07/28/24-17:08:23
gpt-4-turbo, negative, 0.68, 0.59, 0.94, 0.73, 07/28/24-17:08:23
gpt-4-turbo, neutral, 0.68, 0.83, 0.46, 0.60, 07/28/24-17:08:23
gpt-4-turbo, AVERAGE, 0.68, 0.68, 0.68, 0.68, 07/28/24-17:08:23
gpt-3.5-turbo-0125, positive, 0.55, 0.57, 0.84, 0.68, 07/28/24-17:11:08
gpt-3.5-turbo-0125, negative, 0.55, 0.49, 0.94, 0.64, 07/28/24-17:11:08
gpt-3.5-turbo-0125, neutral, 0.55, 0.80, 0.18, 0.29, 07/28/24-17:11:08
gpt-3.5-turbo-0125, AVERAGE, 0.55, 0.55, 0.55, 0.55, 07/28/24-17:11:08
open-mistral-nemo-2407, positive, 0.68, 0.78, 0.63, 0.70, 07/28/24-17:19:09
open-mistral-nemo-2407, negative, 0.68, 0.60, 0.71, 0.65, 07/28/24-17:19:09
open-mistral-nemo-2407, neutral, 0.68, 0.71, 0.67, 0.69, 07/28/24-17:19:09
open-mistral-nemo-2407, AVERAGE, 0.68, 0.68, 0.68, 0.68, 07/28/24-17:19:09
mistral-large-latest, positive, 0.66, 0.75, 0.67, 0.71, 07/28/24-17:27:31
mistral-large-latest, negative, 0.66, 0.55, 0.86, 0.67, 07/28/24-17:27:31
mistral-large-latest, neutral, 0.66, 0.75, 0.52, 0.62, 07/28/24-17:27:31
mistral-large-latest, AVERAGE, 0.66, 0.66, 0.66, 0.66, 07/28/24-17:27:31
senticnet, positive, 0.49, 0.47, 0.24, 0.32, 07/30/24-09:40:47
senticnet, negative, 0.49, 0.26, 0.03, 0.06, 07/30/24-09:40:47
senticnet, neutral, 0.49, 0.50, 0.87, 0.63, 07/30/24-09:40:47
senticnet, AVERAGE, 0.49, 0.49, 0.49, 0.49, 07/30/24-09:40:47
gpt-4o, positive, 0.75, 0.82, 0.80, 0.81, 07/30/24-09:44:26
gpt-4o, negative, 0.75, 0.64, 0.92, 0.75, 07/30/24-09:44:26
gpt-4o, neutral, 0.75, 0.84, 0.62, 0.71, 07/30/24-09:44:26
gpt-4o, AVERAGE, 0.75, 0.75, 0.75, 0.75, 07/30/24-09:44:26
gpt-4-turbo, positive, 0.68, 0.68, 0.81, 0.74, 07/30/24-09:49:26
gpt-4-turbo, negative, 0.68, 0.59, 0.95, 0.73, 07/30/24-09:49:26
gpt-4-turbo, neutral, 0.68, 0.84, 0.46, 0.59, 07/30/24-09:49:26
gpt-4-turbo, AVERAGE, 0.68, 0.68, 0.68, 0.68, 07/30/24-09:49:26
gpt-3.5-turbo-0125, positive, 0.55, 0.57, 0.82, 0.67, 07/30/24-09:52:32
gpt-3.5-turbo-0125, negative, 0.55, 0.50, 0.95, 0.65, 07/30/24-09:52:32
gpt-3.5-turbo-0125, neutral, 0.55, 0.80, 0.20, 0.32, 07/30/24-09:52:32
gpt-3.5-turbo-0125, AVERAGE, 0.55, 0.56, 0.55, 0.56, 07/30/24-09:52:32
open-mistral-nemo-2407, positive, 0.67, 0.76, 0.62, 0.68, 07/30/24-10:00:22
open-mistral-nemo-2407, negative, 0.67, 0.59, 0.72, 0.65, 07/30/24-10:00:22
open-mistral-nemo-2407, neutral, 0.67, 0.70, 0.65, 0.67, 07/30/24-10:00:22
open-mistral-nemo-2407, AVERAGE, 0.67, 0.67, 0.67, 0.67, 07/30/24-10:00:22
mistral-large-latest, positive, 0.67, 0.79, 0.68, 0.73, 07/30/24-10:08:29
mistral-large-latest, negative, 0.67, 0.56, 0.84, 0.67, 07/30/24-10:08:29
mistral-large-latest, neutral, 0.67, 0.75, 0.56, 0.64, 07/30/24-10:08:29
mistral-large-latest, AVERAGE, 0.67, 0.67, 0.67, 0.67, 07/30/24-10:08:29
claude-3-5-sonnet-20240620, positive, 0.68, 0.59, 0.89, 0.71, 07/30/24-10:17:46
claude-3-5-sonnet-20240620, negative, 0.68, 0.67, 0.85, 0.75, 07/30/24-10:17:46
claude-3-5-sonnet-20240620, neutral, 0.68, 0.82, 0.49, 0.61, 07/30/24-10:17:46
claude-3-5-sonnet-20240620, AVERAGE, 0.68, 0.69, 0.68, 0.69, 07/30/24-10:17:46
claude-3-haiku-20240307, positive, 0.50, 0.46, 0.90, 0.61, 07/30/24-10:27:25
claude-3-haiku-20240307, negative, 0.50, 0.51, 0.92, 0.65, 07/30/24-10:27:25
claude-3-haiku-20240307, neutral, 0.50, 0.87, 0.08, 0.15, 07/30/24-10:27:25
claude-3-haiku-20240307, AVERAGE, 0.50, 0.51, 0.50, 0.50, 07/30/24-10:27:25
