Model, Class, Accuracy, Precision, Recall, F1, timestamp
mistral-large-latest, AVERAGE, 0.85, 0.85, 0.85, 0.85, 07/26/24-15:54:35
senticnet, negative, 0.53, 0.52, 1.00, 0.68, 07/27/24-14:41:49
senticnet, positive, 0.53, 0.88, 0.03, 0.06, 07/27/24-14:41:49
senticnet, AVERAGE, 0.53, 0.53, 0.53, 0.53, 07/27/24-14:41:49
senticnet, negative, 0.53, 0.52, 1.00, 0.68, 07/27/24-15:05:33
senticnet, positive, 0.53, 0.88, 0.03, 0.06, 07/27/24-15:05:33
senticnet, AVERAGE, 0.53, 0.53, 0.53, 0.53, 07/27/24-15:05:33
gpt-4o, negative, 0.91, 0.88, 0.95, 0.91, 07/27/24-15:08:43
gpt-4o, positive, 0.91, 0.94, 0.86, 0.90, 07/27/24-15:08:43
gpt-4o, AVERAGE, 0.91, 0.91, 0.91, 0.91, 07/27/24-15:08:43
gpt-4-turbo, negative, 0.90, 0.86, 0.97, 0.91, 07/27/24-15:13:31
gpt-4-turbo, positive, 0.90, 0.96, 0.83, 0.89, 07/27/24-15:13:31
gpt-4-turbo, AVERAGE, 0.90, 0.90, 0.90, 0.90, 07/27/24-15:13:31
gpt-3.5-turbo-0125, negative, 0.89, 0.88, 0.89, 0.89, 07/27/24-15:17:05
gpt-3.5-turbo-0125, positive, 0.89, 0.89, 0.88, 0.88, 07/27/24-15:17:05
gpt-3.5-turbo-0125, AVERAGE, 0.89, 0.89, 0.89, 0.89, 07/27/24-15:17:05
claude-3-5-sonnet-20240620, negative, 0.92, 0.91, 0.94, 0.92, 07/27/24-15:26:14
claude-3-5-sonnet-20240620, positive, 0.92, 0.94, 0.90, 0.92, 07/27/24-15:26:14
claude-3-5-sonnet-20240620, AVERAGE, 0.92, 0.92, 0.92, 0.92, 07/27/24-15:26:14
claude-3-haiku-20240307, negative, 0.88, 0.94, 0.82, 0.88, 07/27/24-15:35:17
claude-3-haiku-20240307, positive, 0.88, 0.84, 0.94, 0.89, 07/27/24-15:35:17
claude-3-haiku-20240307, AVERAGE, 0.88, 0.89, 0.88, 0.88, 07/27/24-15:35:17
open-mistral-nemo-2407, negative, 0.74, 0.67, 0.98, 0.79, 07/27/24-15:43:11
open-mistral-nemo-2407, positive, 0.74, 0.95, 0.48, 0.64, 07/27/24-15:43:11
open-mistral-nemo-2407, AVERAGE, 0.74, 0.74, 0.74, 0.74, 07/27/24-15:43:11
mistral-large-latest, negative, 0.86, 0.79, 0.98, 0.88, 07/27/24-15:51:32
mistral-large-latest, positive, 0.86, 0.98, 0.73, 0.83, 07/27/24-15:51:32
mistral-large-latest, AVERAGE, 0.86, 0.86, 0.86, 0.86, 07/27/24-15:51:32
senticnet, positive, 0.54, 0.51, 0.91, 0.66, 07/28/24-17:29:57
senticnet, negative, 0.54, 0.68, 0.18, 0.29, 07/28/24-17:29:57
senticnet, AVERAGE, 0.54, 0.54, 0.54, 0.54, 07/28/24-17:29:57
gpt-4o, positive, 0.90, 0.95, 0.84, 0.89, 07/28/24-17:33:06
gpt-4o, negative, 0.90, 0.86, 0.96, 0.91, 07/28/24-17:33:06
gpt-4o, AVERAGE, 0.90, 0.90, 0.90, 0.90, 07/28/24-17:33:06
gpt-4-turbo, positive, 0.90, 0.96, 0.82, 0.89, 07/28/24-17:37:30
gpt-4-turbo, negative, 0.90, 0.85, 0.96, 0.91, 07/28/24-17:37:30
gpt-4-turbo, AVERAGE, 0.90, 0.90, 0.90, 0.90, 07/28/24-17:37:30
gpt-3.5-turbo-0125, positive, 0.88, 0.85, 0.92, 0.88, 07/28/24-17:40:55
gpt-3.5-turbo-0125, negative, 0.88, 0.92, 0.84, 0.88, 07/28/24-17:40:55
gpt-3.5-turbo-0125, AVERAGE, 0.88, 0.88, 0.88, 0.88, 07/28/24-17:40:55
open-mistral-nemo-2407, positive, 0.81, 0.96, 0.65, 0.77, 07/28/24-17:49:10
open-mistral-nemo-2407, negative, 0.81, 0.79, 0.97, 0.87, 07/28/24-17:49:10
open-mistral-nemo-2407, AVERAGE, 0.81, 0.85, 0.81, 0.83, 07/28/24-17:49:10
mistral-large-latest, positive, 0.81, 0.97, 0.63, 0.77, 07/28/24-17:57:31
mistral-large-latest, negative, 0.81, 0.74, 0.98, 0.84, 07/28/24-17:57:31
mistral-large-latest, AVERAGE, 0.81, 0.81, 0.81, 0.81, 07/28/24-17:57:31
senticnet, positive, 0.54, 0.51, 0.91, 0.66, 07/30/24-12:35:38
senticnet, negative, 0.54, 0.68, 0.18, 0.29, 07/30/24-12:35:38
senticnet, AVERAGE, 0.54, 0.54, 0.54, 0.54, 07/30/24-12:35:38
gpt-4o, positive, 0.91, 0.96, 0.84, 0.90, 07/30/24-12:39:40
gpt-4o, negative, 0.91, 0.86, 0.97, 0.91, 07/30/24-12:39:40
gpt-4o, AVERAGE, 0.91, 0.91, 0.91, 0.91, 07/30/24-12:39:40
gpt-4-turbo, positive, 0.89, 0.95, 0.81, 0.88, 07/30/24-12:45:34
gpt-4-turbo, negative, 0.89, 0.85, 0.96, 0.90, 07/30/24-12:45:34
gpt-4-turbo, AVERAGE, 0.89, 0.89, 0.89, 0.89, 07/30/24-12:45:34
gpt-3.5-turbo-0125, positive, 0.89, 0.86, 0.92, 0.89, 07/30/24-12:48:41
gpt-3.5-turbo-0125, negative, 0.89, 0.92, 0.85, 0.88, 07/30/24-12:48:41
gpt-3.5-turbo-0125, AVERAGE, 0.89, 0.89, 0.89, 0.89, 07/30/24-12:48:41
open-mistral-nemo-2407, positive, 0.81, 0.96, 0.64, 0.77, 07/30/24-12:56:17
open-mistral-nemo-2407, negative, 0.81, 0.78, 0.97, 0.87, 07/30/24-12:56:17
open-mistral-nemo-2407, AVERAGE, 0.81, 0.84, 0.81, 0.83, 07/30/24-12:56:17
mistral-large-latest, positive, 0.81, 0.97, 0.62, 0.76, 07/30/24-13:04:37
mistral-large-latest, negative, 0.81, 0.73, 0.98, 0.84, 07/30/24-13:04:37
mistral-large-latest, AVERAGE, 0.81, 0.81, 0.81, 0.81, 07/30/24-13:04:37
claude-3-5-sonnet-20240620, positive, 0.91, 0.92, 0.89, 0.91, 07/30/24-21:57:53
claude-3-5-sonnet-20240620, negative, 0.91, 0.90, 0.93, 0.91, 07/30/24-21:57:53
claude-3-5-sonnet-20240620, AVERAGE, 0.91, 0.91, 0.91, 0.91, 07/30/24-21:57:53
claude-3-haiku-20240307, positive, 0.86, 0.93, 0.78, 0.85, 07/30/24-22:12:49
claude-3-haiku-20240307, negative, 0.86, 0.82, 0.93, 0.87, 07/30/24-22:12:49
claude-3-haiku-20240307, AVERAGE, 0.86, 0.86, 0.86, 0.86, 07/30/24-22:12:49
